speech,model,cef,utterance_id,user_id,token_index,error_type,source_word,source_pos,source_pos_group,source_dep,destination_word,destination_pos,destination_pos_group,destination_dep
read,chirp,A1,n000016-fn000030-101.4930-103.8624,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,do,SYM,other,ROOT
read,chirp,A1,n000016-fn000030-101.4930-103.8624,n000016,1,substitution,dui,PROPN,open_class,ROOT,do,SYM,other,fixed
read,chirp,A1,n000016-fn000030-101.4930-103.8624,n000016,2,substitution,duidelijk,ADJ,open_class,ROOT,like,SYM,other,fixed
read,chirp,A1,n000016-fn000030-103.8624-106.5010,n000016,1,substitution,groeten,NOUN,open_class,ROOT,groenten,NOUN,open_class,ROOT
read,chirp,A1,n000016-fn000030-107.0624-109.1009,n000016,0,deletion,he,INTJ,open_class,ROOT,<del>,<del>,<del>,<del>
read,chirp,A1,n000016-fn000030-109.7011-111.7600,n000016,0,substitution,en,CCONJ,closed_class,cc,een,DET,closed_class,det
read,chirp,A1,n000016-fn000030-109.7011-111.7600,n000016,2,deletion,niet,ADV,open_class,ROOT,<del>,<del>,<del>,<del>
read,chirp,A1,n000016-fn000030-111.7600-114.0986,n000016,2,substitution,en,CCONJ,closed_class,cc,in,ADP,closed_class,case
read,chirp,A1,n000016-fn000030-111.7600-114.0986,n000016,3,substitution,duur,ADJ,open_class,conj,deur,NOUN,open_class,obl
read,chirp,A1,n000016-fn000030-114.5581-116.1930,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,uittrekken,VERB,open_class,ROOT
read,chirp,A1,n000016-fn000030-114.5581-116.1930,n000016,1,substitution,artrike,PROPN,open_class,ROOT,uittrekken,VERB,open_class,xcomp
read,chirp,A1,n000016-fn000030-114.5581-116.1930,n000016,2,substitution,artrikelen,PROPN,open_class,flat,lenzen,NOUN,open_class,parataxis
read,chirp,A1,n000016-fn000030-116.6276-119.2145,n000016,0,substitution,betaal,VERB,open_class,ROOT,heb,AUX,closed_class,aux
read,chirp,A1,n000016-fn000030-116.6276-119.2145,n000016,2,insertion,<ins>,<ins>,<ins>,<ins>,het,PRON,closed_class,obj
read,chirp,A1,n000016-fn000030-116.6276-119.2145,n000016,3,insertion,<ins>,<ins>,<ins>,<ins>,al,ADV,open_class,advmod
read,chirp,A1,n000016-fn000030-116.6276-119.2145,n000016,4,insertion,<ins>,<ins>,<ins>,<ins>,gehoord,VERB,open_class,ROOT
read,chirp,A1,n000016-fn000030-116.6276-119.2145,n000016,5,insertion,<ins>,<ins>,<ins>,<ins>,hij,PRON,closed_class,nsubj
read,chirp,A1,n000016-fn000030-116.6276-119.2145,n000016,6,substitution,gewoon,ADJ,open_class,advmod,won,VERB,open_class,ROOT
read,chirp,A1,n000016-fn000030-119.6207-122.0730,n000016,1,substitution,erop,ADV,open_class,compound:prt,europe,PROPN,open_class,nsubj
read,chirp,A1,n000016-fn000030-122.0730-124.9600,n000016,0,substitution,verkoper,NOUN,open_class,nsubj,verkooper,NOUN,open_class,ROOT
read,chirp,A1,n000016-fn000030-122.0730-124.9600,n000016,1,substitution,ervoor,ADV,open_class,amod,voor,ADP,closed_class,case
read,chirp,A1,n000016-fn000030-122.0730-124.9600,n000016,2,substitution,vraagt,VERB,open_class,ROOT,vracht,NOUN,open_class,nmod
read,chirp,A1,n000016-fn000030-130.4895-132.3106,n000016,0,deletion,dit,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
