utterance_id,token_index,error_type,source_word,source_word_length,destination_word,destination_word_length
n000016-fn000030-101.4930-103.8624,0,insertion,<ins>,<ins>,do,2
n000016-fn000030-101.4930-103.8624,1,substitution,dui,3,do,2
n000016-fn000030-101.4930-103.8624,2,substitution,duidelijk,9,like,4
n000016-fn000030-103.8624-106.5010,1,substitution,groeten,7,groenten,8
n000016-fn000030-107.0624-109.1009,0,deletion,he,2,<del>,<del>
n000016-fn000030-109.7011-111.7600,0,substitution,en,2,een,3
n000016-fn000030-109.7011-111.7600,2,deletion,niet,4,<del>,<del>
n000016-fn000030-111.7600-114.0986,2,substitution,en,2,in,2
n000016-fn000030-111.7600-114.0986,3,substitution,duur,4,deur,4
n000016-fn000030-114.5581-116.1930,0,insertion,<ins>,<ins>,uittrekken,10
n000016-fn000030-114.5581-116.1930,1,substitution,artrike,7,uittrekken,10
n000016-fn000030-114.5581-116.1930,2,substitution,artrikelen,10,lenzen,6
n000016-fn000030-116.6276-119.2145,0,substitution,betaal,6,heb,3
n000016-fn000030-116.6276-119.2145,2,insertion,<ins>,<ins>,het,3
n000016-fn000030-116.6276-119.2145,3,insertion,<ins>,<ins>,al,2
n000016-fn000030-116.6276-119.2145,4,insertion,<ins>,<ins>,gehoord,7
n000016-fn000030-116.6276-119.2145,5,insertion,<ins>,<ins>,hij,3
n000016-fn000030-116.6276-119.2145,6,substitution,gewoon,6,won,3
n000016-fn000030-119.6207-122.0730,1,substitution,erop,4,europe,6
n000016-fn000030-122.0730-124.9600,0,substitution,verkoper,8,verkooper,9
n000016-fn000030-122.0730-124.9600,1,substitution,ervoor,6,voor,4
n000016-fn000030-122.0730-124.9600,2,substitution,vraagt,6,vracht,6
n000016-fn000030-130.4895-132.3106,0,deletion,dit,3,<del>,<del>
n000016-fn000030-132.3106-134.2663,1,deletion,bl,2,<del>,<del>
n000016-fn000030-134.2663-135.7576,0,substitution,spullen,7,spelen,6
n000016-fn000030-139.6378-142.7007,0,insertion,<ins>,<ins>,eh,2
n000016-fn000030-139.6378-142.7007,1,insertion,<ins>,<ins>,twee,4
n000016-fn000030-139.6378-142.7007,2,insertion,<ins>,<ins>,eh,2
n000016-fn000030-139.6378-142.7007,4,substitution,tweede,6,de,2
n000016-fn000030-139.6378-142.7007,5,substitution,handel,6,handen,6
n000016-fn000030-143.0937-144.1802,0,substitution,spullen,7,spelen,6
n000016-fn000030-151.4450-154.2596,0,insertion,<ins>,<ins>,probeer,7
n000016-fn000030-151.4450-154.2596,1,substitution,probier,7,het,3
n000016-fn000030-156.7205-158.7280,0,substitution,ook,3,oké,3
n000016-fn000030-156.7205-158.7280,1,substitution,ook,3,oké,3
n000016-fn000030-158.7280-161.4209,1,insertion,<ins>,<ins>,twee,4
n000016-fn000030-158.7280-161.4209,2,substitution,tweed,5,twee,4
n000016-fn000030-158.7280-161.4209,3,substitution,tweede,6,de,2
n000016-fn000030-158.7280-161.4209,4,substitution,handels,7,handel,6
n000016-fn000030-161.4209-162.8935,2,substitution,de,2,duur,4
n000016-fn000030-165.1238-167.8866,0,deletion,n,1,<del>,<del>
n000016-fn000030-165.1238-167.8866,1,substitution,nooit,5,houd,4
n000016-fn000030-168.4868-170.5296,4,substitution,betaal,6,betaald,7
