utterance_id,token_index,error_type,source_word,source_pos,source_dep,destination_word,destination_pos,destination_dep
n000016-fn000030-101.4930-103.8624,0,insertion,<ins>,<ins>,<ins>,do,SYM,ROOT
n000016-fn000030-101.4930-103.8624,1,substitution,dui,PROPN,ROOT,do,SYM,fixed
n000016-fn000030-101.4930-103.8624,2,substitution,duidelijk,ADJ,ROOT,like,SYM,fixed
n000016-fn000030-103.8624-106.5010,1,substitution,groeten,NOUN,ROOT,groenten,NOUN,ROOT
n000016-fn000030-107.0624-109.1009,0,deletion,he,INTJ,ROOT,<del>,<del>,<del>
n000016-fn000030-109.7011-111.7600,0,substitution,en,CCONJ,cc,een,DET,det
n000016-fn000030-109.7011-111.7600,2,deletion,niet,ADV,ROOT,<del>,<del>,<del>
n000016-fn000030-111.7600-114.0986,2,substitution,en,CCONJ,cc,in,ADP,case
n000016-fn000030-111.7600-114.0986,3,substitution,duur,ADJ,conj,deur,NOUN,obl
n000016-fn000030-114.5581-116.1930,0,insertion,<ins>,<ins>,<ins>,uittrekken,VERB,ROOT
n000016-fn000030-114.5581-116.1930,1,substitution,artrike,PROPN,ROOT,uittrekken,VERB,xcomp
n000016-fn000030-114.5581-116.1930,2,substitution,artrikelen,PROPN,flat,lenzen,NOUN,parataxis
n000016-fn000030-116.6276-119.2145,0,substitution,betaal,VERB,ROOT,heb,AUX,aux
n000016-fn000030-116.6276-119.2145,2,insertion,<ins>,<ins>,<ins>,het,PRON,obj
n000016-fn000030-116.6276-119.2145,3,insertion,<ins>,<ins>,<ins>,al,ADV,advmod
n000016-fn000030-116.6276-119.2145,4,insertion,<ins>,<ins>,<ins>,gehoord,VERB,ROOT
n000016-fn000030-116.6276-119.2145,5,insertion,<ins>,<ins>,<ins>,hij,PRON,nsubj
n000016-fn000030-116.6276-119.2145,6,substitution,gewoon,ADJ,advmod,won,VERB,ROOT
n000016-fn000030-119.6207-122.0730,1,substitution,erop,ADV,compound:prt,europe,PROPN,nsubj
n000016-fn000030-122.0730-124.9600,0,substitution,verkoper,NOUN,nsubj,verkooper,NOUN,ROOT
n000016-fn000030-122.0730-124.9600,1,substitution,ervoor,ADV,amod,voor,ADP,case
n000016-fn000030-122.0730-124.9600,2,substitution,vraagt,VERB,ROOT,vracht,NOUN,nmod
n000016-fn000030-130.4895-132.3106,0,deletion,dit,PRON,nsubj,<del>,<del>,<del>
n000016-fn000030-132.3106-134.2663,1,deletion,bl,SYM,ROOT,<del>,<del>,<del>
n000016-fn000030-134.2663-135.7576,0,substitution,spullen,NOUN,ROOT,spelen,VERB,ROOT
n000016-fn000030-139.6378-142.7007,0,insertion,<ins>,<ins>,<ins>,eh,INTJ,ROOT
n000016-fn000030-139.6378-142.7007,1,insertion,<ins>,<ins>,<ins>,twee,NUM,fixed
n000016-fn000030-139.6378-142.7007,2,insertion,<ins>,<ins>,<ins>,eh,INTJ,fixed
n000016-fn000030-139.6378-142.7007,4,substitution,tweede,ADJ,amod,de,DET,det
n000016-fn000030-139.6378-142.7007,5,substitution,handel,NOUN,ROOT,handen,NOUN,ROOT
n000016-fn000030-143.0937-144.1802,0,substitution,spullen,NOUN,ROOT,spelen,VERB,ROOT
n000016-fn000030-151.4450-154.2596,0,insertion,<ins>,<ins>,<ins>,probeer,VERB,ROOT
n000016-fn000030-151.4450-154.2596,1,substitution,probier,PROPN,nsubj,het,PRON,nsubj
n000016-fn000030-156.7205-158.7280,0,substitution,ook,ADV,advmod,oké,ADJ,ROOT
n000016-fn000030-156.7205-158.7280,1,substitution,ook,ADV,ROOT,oké,ADJ,ROOT
n000016-fn000030-158.7280-161.4209,1,insertion,<ins>,<ins>,<ins>,twee,NUM,nmod
n000016-fn000030-158.7280-161.4209,2,substitution,tweed,ADJ,ROOT,twee,NUM,fixed
n000016-fn000030-158.7280-161.4209,3,substitution,tweede,ADJ,amod,de,DET,det
n000016-fn000030-158.7280-161.4209,4,substitution,handels,NOUN,nmod,handel,NOUN,ROOT
n000016-fn000030-161.4209-162.8935,2,substitution,de,DET,ROOT,duur,ADJ,ROOT
n000016-fn000030-165.1238-167.8866,0,deletion,n,ADJ,ROOT,<del>,<del>,<del>
n000016-fn000030-165.1238-167.8866,1,substitution,nooit,ADV,dep,houd,VERB,ROOT
n000016-fn000030-168.4868-170.5296,4,substitution,betaal,VERB,ROOT,betaald,VERB,ROOT
n000016-fn000030-170.9921-173.0927,1,insertion,<ins>,<ins>,<ins>,hebt,VERB,ROOT
n000016-fn000030-170.9921-173.0927,2,substitution,betaal,VERB,ROOT,beter,ADJ,advmod
n000016-fn000030-173.5004-176.1597,2,substitution,vraag,NOUN,ROOT,vraagt,VERB,ROOT
n000016-fn000030-176.6150-179.0895,0,substitution,spullen,NOUN,ROOT,spelen,VERB,ROOT
n000016-fn000030-176.6150-179.0895,2,substitution,zoals,SCONJ,ROOT,souls,PROPN,obl
n000016-fn000030-179.5283-182.2083,1,substitution,een,DET,det,in,ADP,case
n000016-fn000030-179.5283-182.2083,3,substitution,speler,NOUN,ROOT,spelen,VERB,ROOT
n000016-fn000030-185.3743-188.2303,0,deletion,pos,VERB,nsubj,<del>,<del>,<del>
