speech,model,cef,utterance_id,user_id,token_index,error_type,source_word,source_pos,source_pos_group,source_dep,destination_word,destination_pos,destination_pos_group,destination_dep
hmi,whisper,A1,n000016-fn000029-1016.7017-1019.1551,n000016,2,substitution,kook,VERB,open_class,ROOT,koek,NOUN,open_class,appos
hmi,whisper,A1,n000016-fn000029-1020.4421-1022.1017,n000016,2,substitution,kook,VERB,open_class,ROOT,ook,ADV,open_class,amod
hmi,whisper,A1,n000016-fn000029-1024.2720-1026.8388,n000016,0,substitution,rijst,NOUN,open_class,ROOT,reis,NOUN,open_class,ROOT
hmi,whisper,A1,n000016-fn000029-1026.8388-1029.0448,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,lamvel,NOUN,open_class,ROOT
hmi,whisper,A1,n000016-fn000029-1026.8388-1029.0448,n000016,1,substitution,lamvlees,NOUN,open_class,ROOT,is,AUX,closed_class,cop
hmi,whisper,A1,n000016-fn000029-1031.4360-1032.4256,n000016,1,substitution,lui,ADJ,open_class,ROOT,de,DET,closed_class,fixed
hmi,whisper,A1,n000016-fn000029-1032.4256-1034.9923,n000016,0,substitution,in,ADP,closed_class,case,en,CCONJ,closed_class,cc
hmi,whisper,A1,n000016-fn000029-1032.4256-1034.9923,n000016,1,substitution,luisteren,VERB,open_class,ROOT,luister,NOUN,open_class,ROOT
hmi,whisper,A1,n000016-fn000029-1037.5956-1039.3068,n000016,1,substitution,musica,NOUN,open_class,ROOT,muziek,NOUN,open_class,ROOT
hmi,whisper,A1,n000016-fn000029-1041.1239-1043.2474,n000016,0,deletion,ik,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
hmi,whisper,A1,n000016-fn000029-105.7315-107.4541,n000016,0,substitution,'k,PROPN,open_class,nsubj,ik,PRON,closed_class,nsubj
hmi,whisper,A1,n000016-fn000029-105.7315-107.4541,n000016,3,substitution,vers,ADJ,open_class,ROOT,wezen,VERB,open_class,ROOT
hmi,whisper,A1,n000016-fn000029-115.1026-116.1340,n000016,0,substitution,nee,INTJ,open_class,ROOT,ja,INTJ,open_class,ROOT
hmi,whisper,A1,n000016-fn000029-121.3630-125.2456,n000016,0,deletion,ik,PRON,closed_class,ROOT,<del>,<del>,<del>,<del>
hmi,whisper,A1,n000016-fn000029-121.3630-125.2456,n000016,4,substitution,marrakech,PROPN,open_class,nmod,marrakesh,NOUN,open_class,nmod
