speech,model,cef,utterance_id,user_id,token_index,error_type,source_word,source_pos,source_pos_group,source_dep,destination_word,destination_pos,destination_pos_group,destination_dep
read,whisper,A1,n000016-fn000030-101.4930-103.8624,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,douw,SYM,other,ROOT
read,whisper,A1,n000016-fn000030-101.4930-103.8624,n000016,1,substitution,dui,PROPN,open_class,ROOT,douw,PROPN,open_class,appos
read,whisper,A1,n000016-fn000030-101.4930-103.8624,n000016,2,substitution,duidelijk,ADJ,open_class,ROOT,d'like,SYM,other,ROOT
read,whisper,A1,n000016-fn000030-103.8624-106.5010,n000016,1,substitution,groeten,NOUN,open_class,ROOT,groten,ADJ,open_class,ROOT
read,whisper,A1,n000016-fn000030-103.8624-106.5010,n000016,3,substitution,fruit,NOUN,open_class,conj,vrouwt,NOUN,open_class,conj
read,whisper,A1,n000016-fn000030-107.0624-109.1009,n000016,0,deletion,he,INTJ,open_class,ROOT,<del>,<del>,<del>,<del>
read,whisper,A1,n000016-fn000030-109.7011-111.7600,n000016,0,substitution,en,CCONJ,closed_class,cc,in,ADP,closed_class,case
read,whisper,A1,n000016-fn000030-109.7011-111.7600,n000016,1,substitution,andere,ADJ,open_class,ROOT,ander,ADJ,open_class,obl
read,whisper,A1,n000016-fn000030-109.7011-111.7600,n000016,2,substitution,niet,ADV,open_class,ROOT,net,ADV,open_class,ROOT
read,whisper,A1,n000016-fn000030-111.7600-114.0986,n000016,2,substitution,en,CCONJ,closed_class,cc,een,DET,closed_class,det
read,whisper,A1,n000016-fn000030-111.7600-114.0986,n000016,3,substitution,duur,ADJ,open_class,conj,deur,NOUN,open_class,nsubj
read,whisper,A1,n000016-fn000030-114.5581-116.1930,n000016,0,deletion,artrike,PROPN,open_class,ROOT,<del>,<del>,<del>,<del>
read,whisper,A1,n000016-fn000030-114.5581-116.1930,n000016,1,substitution,artrikelen,PROPN,open_class,flat,atriekelen,NOUN,open_class,ROOT
read,whisper,A1,n000016-fn000030-116.6276-119.2145,n000016,0,deletion,betaal,VERB,open_class,ROOT,<del>,<del>,<del>,<del>
read,whisper,A1,n000016-fn000030-116.6276-119.2145,n000016,1,substitution,je,PRON,closed_class,nsubj,bittaljo,PROPN,open_class,advmod
read,whisper,A1,n000016-fn000030-116.6276-119.2145,n000016,2,substitution,gewoon,ADJ,open_class,advmod,givon,VERB,open_class,ROOT
read,whisper,A1,n000016-fn000030-116.6276-119.2145,n000016,4,substitution,prijs,NOUN,open_class,obj,preis,NOUN,open_class,ROOT
read,whisper,A1,n000016-fn000030-119.6207-122.0730,n000016,0,deletion,die,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
read,whisper,A1,n000016-fn000030-119.6207-122.0730,n000016,1,substitution,erop,ADV,open_class,compound:prt,de,DET,closed_class,det
read,whisper,A1,n000016-fn000030-119.6207-122.0730,n000016,2,substitution,staat,VERB,open_class,ROOT,europestaat,NOUN,open_class,ROOT
read,whisper,A1,n000016-fn000030-119.6207-122.0730,n000016,4,substitution,die,PRON,closed_class,dep,de,DET,closed_class,conj
read,whisper,A1,n000016-fn000030-122.0730-124.9600,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,we,PRON,closed_class,nsubj
read,whisper,A1,n000016-fn000030-122.0730-124.9600,n000016,1,substitution,verkoper,NOUN,open_class,nsubj,kopen,VERB,open_class,ROOT
read,whisper,A1,n000016-fn000030-122.0730-124.9600,n000016,3,substitution,vraagt,VERB,open_class,ROOT,vracht,NOUN,open_class,obl
read,whisper,A1,n000016-fn000030-130.4895-132.3106,n000016,0,deletion,dit,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
read,whisper,A1,n000016-fn000030-132.3106-134.2663,n000016,1,deletion,bl,SYM,other,ROOT,<del>,<del>,<del>,<del>
