utterance_id,token_index,error_type,source_word,source_pos,source_dep,destination_word,destination_pos,destination_dep
n000016-fn000030-101.4930-103.8624,0,insertion,<ins>,<ins>,<ins>,douw,SYM,ROOT
n000016-fn000030-101.4930-103.8624,1,substitution,dui,PROPN,ROOT,douw,PROPN,appos
n000016-fn000030-101.4930-103.8624,2,substitution,duidelijk,ADJ,ROOT,d'like,SYM,ROOT
n000016-fn000030-103.8624-106.5010,1,substitution,groeten,NOUN,ROOT,groten,ADJ,ROOT
n000016-fn000030-103.8624-106.5010,3,substitution,fruit,NOUN,conj,vrouwt,NOUN,conj
n000016-fn000030-107.0624-109.1009,0,deletion,he,INTJ,ROOT,<del>,<del>,<del>
n000016-fn000030-109.7011-111.7600,0,substitution,en,CCONJ,cc,in,ADP,case
n000016-fn000030-109.7011-111.7600,1,substitution,andere,ADJ,ROOT,ander,ADJ,obl
n000016-fn000030-109.7011-111.7600,2,substitution,niet,ADV,ROOT,net,ADV,ROOT
n000016-fn000030-111.7600-114.0986,2,substitution,en,CCONJ,cc,een,DET,det
n000016-fn000030-111.7600-114.0986,3,substitution,duur,ADJ,conj,deur,NOUN,nsubj
n000016-fn000030-114.5581-116.1930,0,deletion,artrike,PROPN,ROOT,<del>,<del>,<del>
n000016-fn000030-114.5581-116.1930,1,substitution,artrikelen,PROPN,flat,atriekelen,NOUN,ROOT
n000016-fn000030-116.6276-119.2145,0,deletion,betaal,VERB,ROOT,<del>,<del>,<del>
n000016-fn000030-116.6276-119.2145,1,substitution,je,PRON,nsubj,bittaljo,PROPN,advmod
n000016-fn000030-116.6276-119.2145,2,substitution,gewoon,ADJ,advmod,givon,VERB,ROOT
n000016-fn000030-116.6276-119.2145,4,substitution,prijs,NOUN,obj,preis,NOUN,ROOT
n000016-fn000030-119.6207-122.0730,0,deletion,die,PRON,nsubj,<del>,<del>,<del>
n000016-fn000030-119.6207-122.0730,1,substitution,erop,ADV,compound:prt,de,DET,det
n000016-fn000030-119.6207-122.0730,2,substitution,staat,VERB,ROOT,europestaat,NOUN,ROOT
n000016-fn000030-119.6207-122.0730,4,substitution,die,PRON,dep,de,DET,conj
n000016-fn000030-122.0730-124.9600,0,insertion,<ins>,<ins>,<ins>,we,PRON,nsubj
n000016-fn000030-122.0730-124.9600,1,substitution,verkoper,NOUN,nsubj,kopen,VERB,ROOT
n000016-fn000030-122.0730-124.9600,3,substitution,vraagt,VERB,ROOT,vracht,NOUN,obl
n000016-fn000030-130.4895-132.3106,0,deletion,dit,PRON,nsubj,<del>,<del>,<del>
n000016-fn000030-132.3106-134.2663,1,deletion,bl,SYM,ROOT,<del>,<del>,<del>
n000016-fn000030-132.3106-134.2663,3,insertion,<ins>,<ins>,<ins>,je,PRON,ROOT
n000016-fn000030-134.2663-135.7576,0,substitution,spullen,NOUN,ROOT,spelen,VERB,ROOT
n000016-fn000030-135.7576-139.1827,1,deletion,niet,ADV,advmod,<del>,<del>,<del>
n000016-fn000030-139.6378-142.7007,0,deletion,twee,NUM,nummod,<del>,<del>,<del>
n000016-fn000030-139.6378-142.7007,1,substitution,tweede,ADJ,amod,tweed,ADJ,amod
n000016-fn000030-139.6378-142.7007,2,substitution,handel,NOUN,ROOT,handen,NOUN,ROOT
n000016-fn000030-143.0937-144.1802,0,substitution,spullen,NOUN,ROOT,spelen,VERB,ROOT
n000016-fn000030-151.4450-154.2596,0,deletion,probier,PROPN,nsubj,<del>,<del>,<del>
n000016-fn000030-154.6424-156.7205,1,substitution,te,ADP,mark,toe,ADP,case
n000016-fn000030-156.7205-158.7280,0,deletion,ook,ADV,advmod,<del>,<del>,<del>
n000016-fn000030-156.7205-158.7280,1,substitution,ook,ADV,ROOT,oké,ADJ,ROOT
n000016-fn000030-158.7280-161.4209,1,deletion,tweed,ADJ,ROOT,<del>,<del>,<del>
n000016-fn000030-161.4209-162.8935,0,substitution,auto's,NOUN,ROOT,otos,ADJ,ROOT
n000016-fn000030-163.3074-164.7664,0,substitution,vraagprijs,NOUN,ROOT,vrachtprijs,NOUN,ROOT
n000016-fn000030-165.1238-167.8866,0,deletion,n,ADJ,ROOT,<del>,<del>,<del>
n000016-fn000030-165.1238-167.8866,1,substitution,nooit,ADV,dep,houdt,VERB,ROOT
