utterance_id,token_index,error_type,source_word,source_pos,source_dep,destination_word,destination_pos,destination_dep
n000016-fn000029-1016.7017-1019.1551,1,substitution,ik,PRON,nsubj,een,DET,det
n000016-fn000029-1016.7017-1019.1551,2,substitution,kook,VERB,ROOT,kok,NOUN,ROOT
n000016-fn000029-1020.4421-1022.1017,1,substitution,ik,PRON,nsubj,een,DET,det
n000016-fn000029-1024.2720-1026.8388,0,substitution,rijst,NOUN,ROOT,reis,NOUN,ROOT
n000016-fn000029-1026.8388-1029.0448,0,insertion,<ins>,<ins>,<ins>,lamme,ADJ,amod
n000016-fn000029-1026.8388-1029.0448,1,substitution,lamvlees,NOUN,ROOT,vlees,NOUN,fixed
n000016-fn000029-1031.4360-1032.4256,1,substitution,lui,ADJ,ROOT,de,DET,fixed
n000016-fn000029-1032.4256-1034.9923,1,substitution,luisteren,VERB,ROOT,luister,NOUN,ROOT
n000016-fn000029-1037.5956-1039.3068,1,substitution,musica,NOUN,ROOT,muziek,NOUN,ROOT
n000016-fn000029-1041.1239-1043.2474,0,deletion,ik,PRON,nsubj,<del>,<del>,<del>
n000016-fn000029-105.7315-107.4541,0,substitution,'k,PROPN,nsubj,ik,PRON,nsubj
n000016-fn000029-105.7315-107.4541,3,deletion,vers,ADJ,ROOT,<del>,<del>,<del>
n000016-fn000029-115.1026-116.1340,0,substitution,nee,INTJ,ROOT,eh,INTJ,ROOT
n000016-fn000029-121.3630-125.2456,0,deletion,ik,PRON,ROOT,<del>,<del>,<del>
n000016-fn000029-121.3630-125.2456,2,substitution,reis,NOUN,ROOT,rij,VERB,ROOT
n000016-fn000029-121.3630-125.2456,4,substitution,marrakech,PROPN,nmod,marokko,PROPN,obl
n000016-fn000029-150.2448-153.2871,0,deletion,de,DET,det,<del>,<del>,<del>
n000016-fn000029-153.2871-154.6149,0,substitution,denk,VERB,ROOT,dank,VERB,ROOT
n000016-fn000029-153.2871-154.6149,1,substitution,ja,INTJ,punct,je,PRON,nsubj
n000016-fn000029-155.2125-157.3747,0,substitution,iets,PRON,nsubj,is,AUX,ROOT
n000016-fn000029-155.2125-157.3747,2,deletion,wilt,VERB,acl:relcl,<del>,<del>,<del>
n000016-fn000029-155.2125-157.3747,3,substitution,ga,VERB,ROOT,een,DET,det
n000016-fn000029-155.2125-157.3747,4,substitution,zien,VERB,xcomp,beetje,NOUN,parataxis
n000016-fn000029-158.7467-161.1188,2,insertion,<ins>,<ins>,<ins>,zie,VERB,ROOT
n000016-fn000029-158.7467-161.1188,3,substitution,zien,VERB,ROOT,een,DET,obj
n000016-fn000029-161.1188-162.3681,0,deletion,ik,PRON,nsubj,<del>,<del>,<del>
n000016-fn000029-161.1188-162.3681,1,deletion,ga,VERB,ROOT,<del>,<del>,<del>
n000016-fn000029-161.1188-162.3681,2,substitution,zien,VERB,xcomp,krijgen,VERB,ROOT
n000016-fn000029-173.3562-175.1086,2,substitution,zien,VERB,xcomp,zingen,VERB,xcomp
n000016-fn000029-178.5822-179.6852,0,deletion,ja,INTJ,ROOT,<del>,<del>,<del>
n000016-fn000029-178.5822-179.6852,1,deletion,mijn,PRON,nmod:poss,<del>,<del>,<del>
n000016-fn000029-178.5822-179.6852,2,substitution,vrouw,NOUN,parataxis,jamel,NOUN,ROOT
n000016-fn000029-196.0347-198.0654,0,deletion,het,PRON,det,<del>,<del>,<del>
n000016-fn000029-196.0347-198.0654,1,deletion,het,DET,det,<del>,<del>,<del>
