utterance_id,token_index,error_type,source_word,source_pos,source_dep,destination_word,destination_pos,destination_dep
n000016-fn000029-1016.7017-1019.1551,2,substitution,kook,VERB,ROOT,koek,NOUN,appos
n000016-fn000029-1020.4421-1022.1017,2,substitution,kook,VERB,ROOT,ook,ADV,amod
n000016-fn000029-1024.2720-1026.8388,0,substitution,rijst,NOUN,ROOT,reis,NOUN,ROOT
n000016-fn000029-1026.8388-1029.0448,0,insertion,<ins>,<ins>,<ins>,lamvel,NOUN,ROOT
n000016-fn000029-1026.8388-1029.0448,1,substitution,lamvlees,NOUN,ROOT,is,AUX,cop
n000016-fn000029-1031.4360-1032.4256,1,substitution,lui,ADJ,ROOT,de,DET,fixed
n000016-fn000029-1032.4256-1034.9923,0,substitution,in,ADP,case,en,CCONJ,cc
n000016-fn000029-1032.4256-1034.9923,1,substitution,luisteren,VERB,ROOT,luister,NOUN,ROOT
n000016-fn000029-1037.5956-1039.3068,1,substitution,musica,NOUN,ROOT,muziek,NOUN,ROOT
n000016-fn000029-1041.1239-1043.2474,0,deletion,ik,PRON,nsubj,<del>,<del>,<del>
n000016-fn000029-105.7315-107.4541,0,substitution,'k,PROPN,nsubj,ik,PRON,nsubj
n000016-fn000029-105.7315-107.4541,3,substitution,vers,ADJ,ROOT,wezen,VERB,ROOT
n000016-fn000029-115.1026-116.1340,0,substitution,nee,INTJ,ROOT,ja,INTJ,ROOT
n000016-fn000029-121.3630-125.2456,0,deletion,ik,PRON,ROOT,<del>,<del>,<del>
n000016-fn000029-121.3630-125.2456,4,substitution,marrakech,PROPN,nmod,marrakesh,NOUN,nmod
n000016-fn000029-150.2448-153.2871,0,deletion,de,DET,det,<del>,<del>,<del>
n000016-fn000029-153.2871-154.6149,1,substitution,ja,INTJ,punct,je,PRON,nsubj
n000016-fn000029-155.2125-157.3747,0,insertion,<ins>,<ins>,<ins>,en,CCONJ,cc
n000016-fn000029-155.2125-157.3747,1,substitution,iets,PRON,nsubj,is,AUX,advmod
n000016-fn000029-155.2125-157.3747,3,substitution,wilt,VERB,acl:relcl,uw,PRON,nmod:poss
n000016-fn000029-155.2125-157.3747,4,substitution,ga,VERB,ROOT,wilde,ADJ,amod
n000016-fn000029-155.2125-157.3747,5,substitution,zien,VERB,xcomp,gezin,NOUN,ROOT
n000016-fn000029-158.7467-161.1188,2,substitution,zien,VERB,ROOT,zie,VERB,ROOT
n000016-fn000029-161.1188-162.3681,0,deletion,ik,PRON,nsubj,<del>,<del>,<del>
n000016-fn000029-161.1188-162.3681,1,deletion,ga,VERB,ROOT,<del>,<del>,<del>
n000016-fn000029-161.1188-162.3681,2,substitution,zien,VERB,xcomp,krezen,NOUN,ROOT
n000016-fn000029-173.3562-175.1086,2,insertion,<ins>,<ins>,<ins>,ze,PRON,obj
n000016-fn000029-173.3562-175.1086,3,substitution,zien,VERB,xcomp,even,ADV,advmod
n000016-fn000029-178.5822-179.6852,0,deletion,ja,INTJ,ROOT,<del>,<del>,<del>
n000016-fn000029-178.5822-179.6852,1,substitution,mijn,PRON,nmod:poss,jamal,PROPN,ROOT
n000016-fn000029-178.5822-179.6852,2,substitution,vrouw,NOUN,parataxis,vanavond,ADV,amod
n000016-fn000029-190.0017-192.0943,0,insertion,<ins>,<ins>,<ins>,ehm,ADV,advmod
n000016-fn000029-190.0017-192.0943,1,substitution,ja,INTJ,ROOT,weet,VERB,ROOT
n000016-fn000029-190.0017-192.0943,2,substitution,met,ADP,fixed,je,PRON,nsubj
n000016-fn000029-196.0347-198.0654,0,deletion,het,PRON,det,<del>,<del>,<del>
n000016-fn000029-196.0347-198.0654,1,deletion,het,DET,det,<del>,<del>,<del>
n000016-fn000029-196.0347-198.0654,2,substitution,vliegtuig,NOUN,ROOT,uitverlichting,NOUN,ROOT
n000016-fn000029-206.1892-208.8694,0,insertion,<ins>,<ins>,<ins>,en,CCONJ,cc
n000016-fn000029-206.1892-208.8694,1,insertion,<ins>,<ins>,<ins>,dan,ADV,ROOT
n000016-fn000029-206.1892-208.8694,2,substitution,onderweg,ADV,ROOT,weer,ADV,advmod
n000016-fn000029-213.6695-214.1336,0,insertion,<ins>,<ins>,<ins>,dat,PRON,ROOT
n000016-fn000029-213.6695-214.1336,1,insertion,<ins>,<ins>,<ins>,is,AUX,cop
n000016-fn000029-213.6695-214.1336,2,substitution,wat,PRON,ROOT,het,PRON,nsubj
n000016-fn000029-215.3942-217.4043,0,deletion,oude,ADJ,amod,<del>,<del>,<del>
n000016-fn000029-215.3942-217.4043,1,deletion,oud,ADJ,amod,<del>,<del>,<del>
n000016-fn000029-215.3942-217.4043,2,substitution,stad,NOUN,ROOT,oudstaat,NOUN,ROOT
