speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
HMI,whisper,A1,substitution,ADJ,76,345,0.22029,0.176557,0.264023
HMI,whisper,A1,substitution,ADP,55,294,0.187075,0.142497,0.231652
HMI,whisper,A1,substitution,ADV,61,328,0.185976,0.143867,0.228084
HMI,whisper,A1,substitution,AUX,22,205,0.107317,0.064947,0.149687
HMI,whisper,A1,substitution,CCONJ,17,122,0.139344,0.077892,0.200796
HMI,whisper,A1,substitution,DET,82,255,0.321569,0.264239,0.378898
HMI,whisper,A1,substitution,INTJ,12,213,0.056338,0.025373,0.087303
HMI,whisper,A1,substitution,NOUN,198,629,0.314785,0.27849,0.351081
HMI,whisper,A1,substitution,NUM,45,79,0.56962,0.460436,0.678805
HMI,whisper,A1,substitution,PRON,107,631,0.169572,0.140292,0.198852
HMI,whisper,A1,substitution,PROPN,58,198,0.292929,0.229537,0.356322
HMI,whisper,A1,substitution,SCONJ,8,60,0.133333,0.047318,0.219349
HMI,whisper,A1,substitution,SYM,19,70,0.271429,0.167252,0.375605
HMI,whisper,A1,substitution,VERB,153,555,0.275676,0.238499,0.312853
HMI,whisper,A1,substitution,X,0,1,0.0,0.0,0.0
HMI,whisper,A2,substitution,ADJ,218,790,0.275949,0.244779,0.30712
HMI,whisper,A2,substitution,ADP,119,781,0.152369,0.127164,0.177573
HMI,whisper,A2,substitution,ADV,209,1030,0.202913,0.178352,0.227474
HMI,whisper,A2,substitution,AUX,72,470,0.153191,0.120629,0.185754
HMI,whisper,A2,substitution,CCONJ,41,337,0.121662,0.08676,0.156564
HMI,whisper,A2,substitution,DET,154,656,0.234756,0.202321,0.267191
HMI,whisper,A2,substitution,INTJ,20,305,0.065574,0.037793,0.093355
HMI,whisper,A2,substitution,NOUN,572,1496,0.382353,0.357727,0.406979
HMI,whisper,A2,substitution,NUM,56,125,0.448,0.360821,0.535179
HMI,whisper,A2,substitution,PRON,250,1521,0.164366,0.14574,0.182991
HMI,whisper,A2,substitution,PROPN,165,326,0.506135,0.451862,0.560408
HMI,whisper,A2,substitution,SCONJ,24,165,0.145455,0.091659,0.19925
HMI,whisper,A2,substitution,SYM,67,127,0.527559,0.44073,0.614388
HMI,whisper,A2,substitution,VERB,393,1489,0.263936,0.241548,0.286324
HMI,whisper,A2,substitution,X,1,2,0.5,0.0,1.0
HMI,whisper,B1,substitution,ADJ,126,488,0.258197,0.219367,0.297027
HMI,whisper,B1,substitution,ADP,80,588,0.136054,0.108342,0.163766
HMI,whisper,B1,substitution,ADV,74,558,0.132616,0.104475,0.160758
HMI,whisper,B1,substitution,AUX,35,298,0.11745,0.080895,0.154004
HMI,whisper,B1,substitution,CCONJ,27,248,0.108871,0.070104,0.147637
HMI,whisper,B1,substitution,DET,85,455,0.186813,0.150999,0.222627
HMI,whisper,B1,substitution,INTJ,7,203,0.034483,0.009382,0.059584
HMI,whisper,B1,substitution,NOUN,251,840,0.29881,0.267854,0.329765
HMI,whisper,B1,substitution,NUM,45,87,0.517241,0.412237,0.622246
HMI,whisper,B1,substitution,PRON,154,935,0.164706,0.140931,0.188481
HMI,whisper,B1,substitution,PROPN,82,206,0.398058,0.331213,0.464904
HMI,whisper,B1,substitution,SCONJ,18,124,0.145161,0.083158,0.207164
HMI,whisper,B1,substitution,SYM,27,58,0.465517,0.337143,0.593891
HMI,whisper,B1,substitution,VERB,185,771,0.239948,0.209804,0.270093
HMI,whisper,B1,substitution,X,3,6,0.5,0.099917,0.900083
