speech,model,cef,utterance_id,user_id,token_index,error_type,source_word,source_pos,source_pos_group,source_dep,destination_word,destination_pos,destination_pos_group,destination_dep
hmi,chirp,A1,n000016-fn000029-1016.7017-1019.1551,n000016,1,substitution,ik,PRON,closed_class,nsubj,een,DET,closed_class,det
hmi,chirp,A1,n000016-fn000029-1016.7017-1019.1551,n000016,2,substitution,kook,VERB,open_class,ROOT,kok,NOUN,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-1020.4421-1022.1017,n000016,1,substitution,ik,PRON,closed_class,nsubj,een,DET,closed_class,det
hmi,chirp,A1,n000016-fn000029-1024.2720-1026.8388,n000016,0,substitution,rijst,NOUN,open_class,ROOT,reis,NOUN,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-1026.8388-1029.0448,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,lamme,ADJ,open_class,amod
hmi,chirp,A1,n000016-fn000029-1026.8388-1029.0448,n000016,1,substitution,lamvlees,NOUN,open_class,ROOT,vlees,NOUN,open_class,fixed
hmi,chirp,A1,n000016-fn000029-1031.4360-1032.4256,n000016,1,substitution,lui,ADJ,open_class,ROOT,de,DET,closed_class,fixed
hmi,chirp,A1,n000016-fn000029-1032.4256-1034.9923,n000016,1,substitution,luisteren,VERB,open_class,ROOT,luister,NOUN,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-1037.5956-1039.3068,n000016,1,substitution,musica,NOUN,open_class,ROOT,muziek,NOUN,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-1041.1239-1043.2474,n000016,0,deletion,ik,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-105.7315-107.4541,n000016,0,substitution,'k,PROPN,open_class,nsubj,ik,PRON,closed_class,nsubj
hmi,chirp,A1,n000016-fn000029-105.7315-107.4541,n000016,3,deletion,vers,ADJ,open_class,ROOT,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-115.1026-116.1340,n000016,0,substitution,nee,INTJ,open_class,ROOT,eh,INTJ,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-121.3630-125.2456,n000016,0,deletion,ik,PRON,closed_class,ROOT,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-121.3630-125.2456,n000016,2,substitution,reis,NOUN,open_class,ROOT,rij,VERB,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-121.3630-125.2456,n000016,4,substitution,marrakech,PROPN,open_class,nmod,marokko,PROPN,open_class,obl
hmi,chirp,A1,n000016-fn000029-150.2448-153.2871,n000016,0,deletion,de,DET,closed_class,det,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-153.2871-154.6149,n000016,0,substitution,denk,VERB,open_class,ROOT,dank,VERB,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-153.2871-154.6149,n000016,1,substitution,ja,INTJ,open_class,punct,je,PRON,closed_class,nsubj
hmi,chirp,A1,n000016-fn000029-155.2125-157.3747,n000016,0,substitution,iets,PRON,closed_class,nsubj,is,AUX,closed_class,ROOT
hmi,chirp,A1,n000016-fn000029-155.2125-157.3747,n000016,2,deletion,wilt,VERB,open_class,acl:relcl,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-155.2125-157.3747,n000016,3,substitution,ga,VERB,open_class,ROOT,een,DET,closed_class,det
hmi,chirp,A1,n000016-fn000029-155.2125-157.3747,n000016,4,substitution,zien,VERB,open_class,xcomp,beetje,NOUN,open_class,parataxis
hmi,chirp,A1,n000016-fn000029-158.7467-161.1188,n000016,2,insertion,<ins>,<ins>,<ins>,<ins>,zie,VERB,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-158.7467-161.1188,n000016,3,substitution,zien,VERB,open_class,ROOT,een,DET,closed_class,obj
hmi,chirp,A1,n000016-fn000029-161.1188-162.3681,n000016,0,deletion,ik,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-161.1188-162.3681,n000016,1,deletion,ga,VERB,open_class,ROOT,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-161.1188-162.3681,n000016,2,substitution,zien,VERB,open_class,xcomp,krijgen,VERB,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-173.3562-175.1086,n000016,2,substitution,zien,VERB,open_class,xcomp,zingen,VERB,open_class,xcomp
hmi,chirp,A1,n000016-fn000029-178.5822-179.6852,n000016,0,deletion,ja,INTJ,open_class,ROOT,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-178.5822-179.6852,n000016,1,deletion,mijn,PRON,closed_class,nmod:poss,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-178.5822-179.6852,n000016,2,substitution,vrouw,NOUN,open_class,parataxis,jamel,NOUN,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-196.0347-198.0654,n000016,0,deletion,het,PRON,closed_class,det,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-196.0347-198.0654,n000016,1,deletion,het,DET,closed_class,det,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-196.0347-198.0654,n000016,2,substitution,vliegtuig,NOUN,open_class,ROOT,uit,ADP,closed_class,case
hmi,chirp,A1,n000016-fn000029-196.0347-198.0654,n000016,3,substitution,ja,INTJ,open_class,ROOT,uitvliegen,VERB,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-206.1892-208.8694,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,heb,AUX,closed_class,ROOT
hmi,chirp,A1,n000016-fn000029-206.1892-208.8694,n000016,1,substitution,onderweg,ADV,open_class,ROOT,je,PRON,closed_class,nsubj
hmi,chirp,A1,n000016-fn000029-215.3942-217.4043,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,i,SYM,other,ROOT
hmi,chirp,A1,n000016-fn000029-215.3942-217.4043,n000016,1,insertion,<ins>,<ins>,<ins>,<ins>,would,SYM,other,ROOT
hmi,chirp,A1,n000016-fn000029-215.3942-217.4043,n000016,2,substitution,oude,ADJ,open_class,amod,i,SYM,other,fixed
hmi,chirp,A1,n000016-fn000029-215.3942-217.4043,n000016,3,substitution,oud,ADJ,open_class,amod,would,SYM,other,ROOT
hmi,chirp,A1,n000016-fn000029-215.3942-217.4043,n000016,4,substitution,stad,NOUN,open_class,ROOT,start,VERB,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-256.5219-258.4290,n000016,1,deletion,gereg,NOUN,open_class,ROOT,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-270.6127-272.7877,n000016,0,deletion,ja,INTJ,open_class,mark,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-270.6127-272.7877,n000016,2,deletion,ga,VERB,open_class,ROOT,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-273.3854-274.5482,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,eh,INTJ,open_class,amod
hmi,chirp,A1,n000016-fn000029-274.5482-276.5089,n000016,2,deletion,en,CCONJ,closed_class,cc,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-274.5482-276.5089,n000016,3,deletion,drinken,VERB,open_class,conj,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-28.8036-29.8673,n000016,0,substitution,marrakech,PROPN,open_class,ROOT,marakish,NOUN,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-289.0841-290.1356,n000016,0,substitution,koosjer,ADJ,open_class,ROOT,costiere,ADJ,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-305.9152-307.6470,n000016,0,deletion,wilt,VERB,open_class,ROOT,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-305.9152-307.6470,n000016,1,deletion,u,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-305.9152-307.6470,n000016,2,substitution,een,DET,closed_class,det,in,ADP,closed_class,case
hmi,chirp,A1,n000016-fn000029-305.9152-307.6470,n000016,3,substitution,reis,NOUN,open_class,obj,huis,NOUN,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-308.8015-310.3271,n000016,0,substitution,of,CCONJ,closed_class,cc,op,ADP,closed_class,xcomp
hmi,chirp,A1,n000016-fn000029-317.2552-320.5023,n000016,1,insertion,<ins>,<ins>,<ins>,<ins>,ga,VERB,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-317.2552-320.5023,n000016,2,substitution,gaat,VERB,open_class,ROOT,het,PRON,closed_class,obj
hmi,chirp,A1,n000016-fn000029-317.2552-320.5023,n000016,3,substitution,liever,ADV,open_class,advmod,leveren,VERB,open_class,xcomp
hmi,chirp,A1,n000016-fn000029-320.9660-323.3884,n000016,0,deletion,bekij,PROPN,open_class,nsubj,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-339.2418-341.0190,n000016,1,deletion,u,PRON,closed_class,nsubj,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-339.2418-341.0190,n000016,2,deletion,dat,PRON,closed_class,obj,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-341.5550-343.4724,n000016,0,insertion,<ins>,<ins>,<ins>,<ins>,ik,PRON,closed_class,nsubj
hmi,chirp,A1,n000016-fn000029-341.5550-343.4724,n000016,1,insertion,<ins>,<ins>,<ins>,<ins>,zou,AUX,closed_class,aux
hmi,chirp,A1,n000016-fn000029-341.5550-343.4724,n000016,2,substitution,duidelijker,ADJ,open_class,advmod,liever,ADV,open_class,advmod
hmi,chirp,A1,n000016-fn000029-347.1447-348.7838,n000016,2,substitution,u,PRON,closed_class,obj,een,DET,closed_class,det
hmi,chirp,A1,n000016-fn000029-347.1447-348.7838,n000016,3,substitution,niet,ADV,open_class,advmod,nieuw,ADJ,open_class,amod
hmi,chirp,A1,n000016-fn000029-347.1447-348.7838,n000016,4,substitution,verstaan,VERB,open_class,ROOT,vest,NOUN,open_class,obj
hmi,chirp,A1,n000016-fn000029-350.4240-351.3930,n000016,0,substitution,kunt,AUX,closed_class,ROOT,en,CCONJ,closed_class,ROOT
hmi,chirp,A1,n000016-fn000029-434.7399-436.9046,n000016,0,deletion,heel,ADJ,open_class,advmod,<del>,<del>,<del>,<del>
hmi,chirp,A1,n000016-fn000029-434.7399-436.9046,n000016,1,substitution,heel,ADJ,open_class,advmod,hele,ADJ,open_class,advmod
hmi,chirp,A1,n000016-fn000029-434.7399-436.9046,n000016,2,substitution,weer,ADV,open_class,ROOT,hele,ADJ,open_class,ROOT
hmi,chirp,A1,n000016-fn000029-467.7158-469.4785,n000016,0,substitution,wilt,VERB,open_class,ROOT,wil,VERB,open_class,ROOT
